CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,District,Neighborhood,Longitude,Latitude,Premise,Total Incidents
07/24/2017,12:00:00 AM,1O,2700 E FAYETTE ST,HOMICIDE,Outside,OTHER,SOUTHEASTERN,Patterson Park Neighborho,-76.57843,39.29452,COMMON BUSINESS,1
07/24/2017,1:45:00 PM,1O,300 W 27TH ST,HOMICIDE,Inside,OTHER,NORTHERN,Remington,-76.62113,39.32017,DWELLING,1
07/23/2017,2:34:00 AM,1A,1100 WHITELOCK ST,HOMICIDE,Outside,FIREARM,CENTRAL,Reservoir Hill,-76.63786,39.31254,STREET,1
07/22/2017,11:40:00 PM,1A,500 BRUNSWICK ST,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Millhill,-76.65925,39.27902,STREET,1
07/21/2017,7:51:00 PM,1K,4500 EDMONDSON AV,HOMICIDE,Inside,KNIFE,SOUTHWESTERN,Rognel Heights,-76.69288,39.29349,COMMON BUSINESS,1
07/21/2017,6:52:00 PM,1O,1700 DARLEY AV,HOMICIDE,Inside,OTHER,EASTERN,Darley Park,-76.59319,39.31471,DWELLING,1
07/19/2017,10:44:00 PM,1K,100 W 25TH ST,HOMICIDE,Inside,KNIFE,NORTHERN,Charles Village,-76.61851,39.31781,DWELLING,1
07/18/2017,1:42:00 PM,1A,500 N FREMONT AV,HOMICIDE,Outside,FIREARM,WESTERN,Heritage Crossing,-76.63207,39.29485,PARKING LOT,1
07/17/2017,7:10:00 PM,1A,3300 W BALTIMORE ST,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Saint Josephs,-76.67245,39.28583,PARKING LOT,1
07/14/2017,11:43:00 PM,1A,100 REEDBIRD AV,HOMICIDE,Outside,FIREARM,SOUTHERN,Cherry Hill,-76.61512,39.24941,PUBLIC AREA,1
07/14/2017,10:55:00 PM,1A,3200 W BALTIMORE ST,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Carroll-South Hilton,-76.6706,39.28589,STREET,1
07/13/2017,10:38:00 PM,1A,1700 PRESSTMAN ST,HOMICIDE,Outside,FIREARM,WESTERN,Sandtown-Winchester,-76.64481,39.30536,STREET,1
07/12/2017,11:16:00 AM,1A,700 LINNARD ST,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Edgewood,-76.67637,39.29546,STREET,1
07/07/2017,9:41:00 PM,1A,1700 CARSWELL ST,HOMICIDE,Outside,FIREARM,NORTHEASTERN,Coldstream Homestead Mont,-76.59339,39.32138,STREET,1
07/06/2017,9:12:23 PM,1O,4300 PIMLICO RD,HOMICIDE,Outside,OTHER,NORTHWESTERN,Central Park Heights,-76.66403,39.33902,PARKING LOT,1
07/06/2017,11:55:00 PM,1A,5500 REISTERSTOWN RD,HOMICIDE,Outside,FIREARM,NORTHWESTERN,Woodmere,-76.69026,39.34765,STREET,1
07/05/2017,6:30:00 AM,1A,2000 MC CULLOH ST,HOMICIDE,Outside,FIREARM,CENTRAL,Druid Heights,-76.63477,39.30815,STREET,1
07/05/2017,4:32:00 PM,1A,1600 RUXTON AV,HOMICIDE,Outside,FIREARM,WESTERN,Coppin Heights/Ash-Co-Eas,-76.65496,39.30654,STREET,1
07/05/2017,10:14:00 PM,1A,2600 ROSELAWN AV,HOMICIDE,Inside,FIREARM,NORTHEASTERN,Hamilton Hills,-76.56324,39.35831,DWELLING,1
07/05/2017,1:29:00 PM,1A,5000 DENMORE AV,HOMICIDE,Inside,FIREARM,NORTHWESTERN,Central Park Heights,-76.67554,39.34727,NA,1
07/03/2017,8:09:00 PM,1A,800 N CAREY ST,HOMICIDE,Inside,FIREARM,WESTERN,Harlem Park,-76.63867,39.29792,COMMON BUSINESS,1
07/03/2017,4:50:00 AM,1A,5300 READY AV,HOMICIDE,Outside,FIREARM,NORTHERN,Woodbourne-McCabe,-76.60788,39.35383,STREET,1
07/03/2017,11:27:00 PM,1A,1600 Mc Culloh St,HOMICIDE,Outside,FIREARM,CENTRAL,Upton,-76.63079,39.30494,STREET,1
07/02/2017,7:55:00 PM,1A,1400 ARGYLE AV,HOMICIDE,Inside,FIREARM,CENTRAL,Upton,-76.63275,39.3006,DWELLING,1
07/01/2017,12:00:00 AM,1A,2700 E CHASE ST,HOMICIDE,Outside,FIREARM,EASTERN,Biddle Street,-76.57956,39.30384,STREET,1
07/01/2017,1:13:00 AM,1A,3300 GARRISON BLVD,HOMICIDE,Outside,FIREARM,NORTHWESTERN,Central Forest Park,-76.68264,39.32643,COMMON BUSINESS,1
06/29/2017,9:20:00 AM,1A,600 N BENTALOU ST,HOMICIDE,Outside,FIREARM,WESTERN,Rosemont Homeowners/Tenan,-76.65329,39.2949,STREET,1
06/29/2017,1:47:00 PM,1A,2200 CHRISTIAN ST,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Carrollton Ridge,-76.65132,39.28123,STREET,1
06/28/2017,2:17:00 AM,1A,6100 CARDIFF AV,HOMICIDE,Outside,FIREARM,SOUTHEASTERN,Medford,-76.54352,39.27629,STREET,1
06/27/2017,12:00:00 AM,1A,1200 N FRANKLINTOWN RD,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Gwynns Falls/Leakin Park,-76.67075,39.29986,STREET,1
06/25/2017,5:40:00 PM,1A,1200 HARWOOD AV,HOMICIDE,Outside,FIREARM,NORTHEASTERN,Woodbourne Heights,-76.59487,39.35561,STREET,1
06/25/2017,12:29:00 AM,1A,2500 E HOFFMAN ST,HOMICIDE,Outside,FIREARM,EASTERN,Berea,-76.58271,39.30692,STREET,1
06/23/2017,7:35:00 PM,1A,5200 ST CHARLES AV,HOMICIDE,Outside,FIREARM,NORTHWESTERN,Woodmere,-76.683,39.34457,STREET,1
06/23/2017,4:56:00 PM,1K,1700 N GAY ST,HOMICIDE,Outside,KNIFE,EASTERN,Broadway East,-76.58745,39.30969,STREET,1
06/21/2017,8:30:00 PM,1A,3900 LIBERTY HEIGHTS AV,HOMICIDE,Inside,FIREARM,NORTHWESTERN,Dorchester,-76.68403,39.32785,DWELLING,1
06/20/2017,12:22:00 AM,1A,1700 ELLSWORTH ST,HOMICIDE,Outside,FIREARM,EASTERN,Broadway East,-76.59412,39.30596,STREET,1
